,Code,Description1
574,ZB001007,Pfizer/hospira
575,ZC001007,Merck/samsung bioepis
576,A0021001003,"Ambulance service, outside state per mile, transport (medicaid only)"
577,A0080001003,"Non-emergency transportation, per mile - vehicle provided by volunteer"
578,A0080002004,"(individual or organization), with no vested interest"
579,A0090001003,"Non-emergency transportation, per mile - vehicle provided by individual (family"
580,A0090002004,"member, self, neighbor) with vested interest"
581,A0100001003,Non-emergency transportation; taxi
582,A0110001003,"Non-emergency transportation and bus, intra or inter state carrier"
583,A0120001003,"Non-emergency transportation: mini-bus, mountain area transports, or other"
584,A0120002004,transportation systems
585,A0130001003,Non-emergency transportation: wheelchair van
586,A0140001003,Non-emergency transportation and air travel (private or commercial) intra or
587,A0140002004,inter state
588,A0160001003,Non-emergency transportation: per mile - case worker or social worker
589,A0170001003,"Transportation ancillary: parking fees, tolls, other"
590,A0180001003,Non-emergency transportation: ancillary: lodging-recipient
591,A0190001003,Non-emergency transportation: ancillary: meals-recipient
592,A0200001003,Non-emergency transportation: ancillary: lodging escort
593,A0210001003,Non-emergency transportation: ancillary: meals-escort
594,A0225001003,"Ambulance service, neonatal transport, base rate, emergency transport, one way"
595,A0380001003,Bls mileage (per mile)
596,A0382001003,Bls routine disposable supplies
597,A0384001003,Bls specialized service disposable supplies; defibrillation (used by als
598,A0384002004,ambulances and bls ambulances in jurisdictions where defibrillation is
599,A0384003004,permitted in bls ambulances)
600,A0390001003,Als mileage (per mile)
601,A0392001003,Als specialized service disposable supplies; defibrillation (to be used only in
602,A0392002004,jurisdictions where defibrillation cannot be performed in bls ambulances)
603,A0394001003,Als specialized service disposable supplies; iv drug therapy
604,A0396001003,Als specialized service disposable supplies; esophageal intubation
605,A0398001003,Als routine disposable supplies
606,A0420001003,"Ambulance waiting time (als or bls), one half (1/2) hour increments"
607,A0422001003,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation"
608,A0424001003,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged);"
609,A0424002004,(requires medical review)
610,A0425001003,"Ground mileage, per statute mile"
611,A0426001003,"Ambulance service, advanced life support, non-emergency transport, level 1 (als"
612,A0426002004,1)
613,A0427001003,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 -"
614,A0427002004,emergency)
615,A0428001003,"Ambulance service, basic life support, non-emergency transport, (bls)"
616,A0429001003,"Ambulance service, basic life support, emergency transport (bls-emergency)"
617,A0430001003,"Ambulance service, conventional air services, transport, one way (fixed wing)"
618,A0431001003,"Ambulance service, conventional air services, transport, one way (rotary wing)"
619,A0432001003,"Paramedic intercept (pi), rural area, transport furnished by a volunteer"
620,A0432002004,ambulance company which is prohibited by state law from billing third party
621,A0432003004,payers
622,A0433001003,"Advanced life support, level 2 (als 2)"
623,A0434001003,Specialty care transport (sct)
624,A0435001003,"Fixed wing air mileage, per statute mile"
625,A0436001003,"Rotary wing air mileage, per statute mile"
626,A0888001003,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest"
627,A0888002004,appropriate facility)
628,A0998001003,"Ambulance response and treatment, no transport"
629,A0999001003,Unlisted ambulance service
630,A2001001003,"Innovamatrix ac, per square centimeter"
631,A2002001003,"Mirragen advanced wound matrix, per square centimeter"
632,A2004001003,"Xcellistem, 1 mg"
633,A2005001003,"Microlyte matrix, per square centimeter"
634,A2006001003,"Novosorb synpath dermal matrix, per square centimeter"
635,A2007001003,"Restrata, per square centimeter"
636,A2008001003,"Theragenesis, per square centimeter"
637,A2009001003,"Symphony, per square centimeter"
638,A2010001003,"Apis, per square centimeter"
639,A2011001003,"Supra sdrm, per square centimeter"
640,A2012001003,"Suprathel, per square centimeter"
641,A2013001003,"Innovamatrix fs, per square centimeter"
642,A2014001003,"Omeza collagen matrix, per 100 mg"
643,A2015001003,"Phoenix wound matrix, per square centimeter"
644,A2016001003,"Permeaderm b, per square centimeter"
645,A2017001003,"Permeaderm glove, each"
646,A2018001003,"Permeaderm c, per square centimeter"
647,A2019001003,"Kerecis omega3 marigen shield, per square centimeter"
648,A2020001003,Ac5 advanced wound system (ac5)
649,A2021001003,"Neomatrix, per square centimeter"
650,A2022001003,"Innovaburn or innovamatrix xl, per square centimeter"
651,A2023001003,"Innovamatrix pd, 1 mg"
652,A2024001003,"Resolve matrix or xenopatch, per square centimeter"
653,A2025001003,"Miro3d, per cubic centimeter"
654,A2026001003,"Restrata minimatrix, 5 mg"
655,A2027001003,"Matriderm, per square centimeter"
656,A2028001003,"Micromatrix flex, per mg"
657,A2029001003,"Mirotract wound matrix sheet, per cubic centimeter"
658,A2030001003,"Miro3d fibers, per milligram"
659,A2031001003,"Mirodry wound matrix, per square centimeter"
660,A2032001003,"Myriad matrix, per square centimeter"
661,A2033001003,"Myriad morcells, 4 milligrams"
662,A2034001003,"Foundation drs solo, per square centimeter"
663,A2035001003,"Corplex p or theracor p or allacor p, per milligram"
664,A2036001003,"Cohealyx collagen dermal matrix, per square centimeter"
665,A2037001003,"G4derm plus, per milliliter"
666,A2038001003,"Marigen pacto, per square centimeter"
667,A2039001003,"Innovamatrix fd, per square centimeter"
668,A4100001003,"Skin substitute, fda cleared as a device, not otherwise specified"
669,A4206001003,"Syringe with needle, sterile, 1 cc or less, each"
670,A4207001003,"Syringe with needle, sterile 2 cc, each"
671,A4208001003,"Syringe with needle, sterile 3 cc, each"
672,A4209001003,"Syringe with needle, sterile 5 cc or greater, each"
673,A4210001003,"Needle-free injection device, each"
674,A4211001003,Supplies for self-administered injections
675,A4212001003,Non-coring needle or stylet with or without catheter
676,A4213001003,"Syringe, sterile, 20 cc or greater, each"
677,A4215001003,"Needle, sterile, any size, each"
678,A4216001003,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml"
679,A4217001003,"Sterile water/saline, 500 ml"
680,A4218001003,"Sterile saline or water, metered dose dispenser, 10 ml"
681,A4220001003,Refill kit for implantable infusion pump
682,A4221001003,"Supplies for maintenance of non-insulin drug infusion catheter, per week (list"
683,A4221002004,drugs  separately)
684,A4222001003,"Infusion supplies for external drug infusion pump, per cassette or bag (list"
685,A4222002004,drugs separately)
686,A4223001003,"Infusion supplies not used with external infusion pump, per cassette or bag"
687,A4223002004,(list drugs separately)
688,A4224001003,"Supplies for maintenance of insulin infusion catheter, per week"
689,A4225001003,"Supplies for external insulin infusion pump, syringe type cartridge, sterile,"
690,A4225002004,each
691,A4226001003,Supplies for maintenance of insulin infusion pump with dosage rate adjustment
692,A4226002004,"using therapeutic continuous glucose sensing, per week"
693,A4230001003,"Infusion set for external insulin pump, non needle cannula type"
694,A4231001003,"Infusion set for external insulin pump, needle type"
695,A4232001003,"Syringe with needle for external insulin pump, sterile, 3 cc"
696,A4233001003,"Replacement battery, alkaline (other than j cell), for use with medically"
